t,DNI,t_ambt,Wt,Qt
0,0,13.277,3.95,356.731
1,0,13.089,3.515,295.381
2,0,12.819,3.434,275.283
3,0,12.575,3.332,264.324
4,0,12.398,3.187,550.275
5,0,12.311,2.87,278.502
6,82,12.479,2.696,499.482
7,352,14.698,2.417,95.259
8,634,17.742,3.095,515.569
9,827,19.985,3.37,644.103
10,961,21.557,3.567,255.381
11,103,22.57,3.78,98.925
12,1026,23.096,3.766,3.855
13,952,23.233,3.493,284.818
14,814,23.025,3.083,433.998
15,619,22.427,2.671,991.923
16,367,21.388,2.178,256.254
17,123,19.471,2.329,326.736
18,0,17.586,2.369,1.217.848
19,0,16.765,2.531,675.934
20,0,15.856,3.047,631.874
21,0,14.971,3.559,587.451
22,0,14.399,3.76,113.112
23,0,13.979,3.786,448.404
